Capability	Tags	GOV.UK	NHS UK	ONS UK	18F	Bits UI	shadcn	Ark	Flowbite	SkeletonUI	IBM Carbon																																								
AI: LLM context file	#ai	-	-	-	-	✅	-	-	-	-	-																																								
Accessibility: Accessibility Compliance Statement	#a11y	?	?	?	?	?	?	?	?	?	?																																								
Accessibility: Web Content Accessibility Guidelines (WCAG) 2.2	#a11y	?	?	?	?	?	?	?	?	?	?																																								
Display: Desktop	#display	✅	✅	✅	✅	✅	✅	✅	✅	✅	✅																																								
Display: Phone	#display	✅	✅	✅	✅	✅	✅	✅	✅	✅	✅																																								
Display: Tablet	#display	✅	✅	✅	✅	✅	✅	✅	✅	✅	✅																																								
Display: Watch	#display	?	?	?	?	?	?	?	?	?	?																																								
Display: TV	#display	?	?	?	?	?	?	?	?	?	?																																								
Display: VR	#display	?	?	?	?	?	?	?	?	?	?																																								
Display: AR	#display	?	?	?	?	?	?	?	?	?	?																																								
Framework: Svelte	#framework	?	?	?	?	✅	?	✅	?	?	?																																								
Framework: Vue	#framework	?	?	?	?	?	?	✅	?	?	?																																								
Framework: React	#framework	?	?	?	?	?	?	✅	?	?	?																																								
Free	#cost	?	?	?	?	?	✅	?	?	?	?																																								
